X50.simulation.time,X50.simulation.CPlas,X50.simulation.CL,X50.simulation.CK,X50.simulation.CS,X50.simulation.CLu,X50.simulation.CBr,X50.simulation.Bal,X50.simulation.Abile,X50.simulation.Aurine,X50.simulation.Cbile,X50.simulation.Curine,X50.conf_intervals.time,X50.conf_intervals.CPlas_mean,X50.conf_intervals.CPlas_lower,X50.conf_intervals.CPlas_upper,X50.conf_intervals.CL_mean,X50.conf_intervals.CL_lower,X50.conf_intervals.CL_upper,X50.conf_intervals.CK_mean,X50.conf_intervals.CK_lower,X50.conf_intervals.CK_upper,X50.conf_intervals.CS_mean,X50.conf_intervals.CS_lower,X50.conf_intervals.CS_upper,X50.conf_intervals.CLu_mean,X50.conf_intervals.CLu_lower,X50.conf_intervals.CLu_upper,X50.conf_intervals.CBr_mean,X50.conf_intervals.CBr_lower,X50.conf_intervals.CBr_upper,X50.conf_intervals.Bal_mean,X50.conf_intervals.Bal_lower,X50.conf_intervals.Bal_upper,X50.conf_intervals.Abile_mean,X50.conf_intervals.Abile_lower,X50.conf_intervals.Abile_upper,X50.conf_intervals.Aurine_mean,X50.conf_intervals.Aurine_lower,X50.conf_intervals.Aurine_upper,X50.conf_intervals.Cbile_mean,X50.conf_intervals.Cbile_lower,X50.conf_intervals.Cbile_upper,X50.conf_intervals.Curine_mean,X50.conf_intervals.Curine_lower,X50.conf_intervals.Curine_upper,X100.simulation.time,X100.simulation.CPlas,X100.simulation.CL,X100.simulation.CK,X100.simulation.CS,X100.simulation.CLu,X100.simulation.CBr,X100.simulation.Bal,X100.simulation.Abile,X100.simulation.Aurine,X100.simulation.Cbile,X100.simulation.Curine,X100.conf_intervals.time,X100.conf_intervals.CPlas_mean,X100.conf_intervals.CPlas_lower,X100.conf_intervals.CPlas_upper,X100.conf_intervals.CL_mean,X100.conf_intervals.CL_lower,X100.conf_intervals.CL_upper,X100.conf_intervals.CK_mean,X100.conf_intervals.CK_lower,X100.conf_intervals.CK_upper,X100.conf_intervals.CS_mean,X100.conf_intervals.CS_lower,X100.conf_intervals.CS_upper,X100.conf_intervals.CLu_mean,X100.conf_intervals.CLu_lower,X100.conf_intervals.CLu_upper,X100.conf_intervals.CBr_mean,X100.conf_intervals.CBr_lower,X100.conf_intervals.CBr_upper,X100.conf_intervals.Bal_mean,X100.conf_intervals.Bal_lower,X100.conf_intervals.Bal_upper,X100.conf_intervals.Abile_mean,X100.conf_intervals.Abile_lower,X100.conf_intervals.Abile_upper,X100.conf_intervals.Aurine_mean,X100.conf_intervals.Aurine_lower,X100.conf_intervals.Aurine_upper,X100.conf_intervals.Cbile_mean,X100.conf_intervals.Cbile_lower,X100.conf_intervals.Cbile_upper,X100.conf_intervals.Curine_mean,X100.conf_intervals.Curine_lower,X100.conf_intervals.Curine_upper,X200.simulation.time,X200.simulation.CPlas,X200.simulation.CL,X200.simulation.CK,X200.simulation.CS,X200.simulation.CLu,X200.simulation.CBr,X200.simulation.Bal,X200.simulation.Abile,X200.simulation.Aurine,X200.simulation.Cbile,X200.simulation.Curine,X200.conf_intervals.time,X200.conf_intervals.CPlas_mean,X200.conf_intervals.CPlas_lower,X200.conf_intervals.CPlas_upper,X200.conf_intervals.CL_mean,X200.conf_intervals.CL_lower,X200.conf_intervals.CL_upper,X200.conf_intervals.CK_mean,X200.conf_intervals.CK_lower,X200.conf_intervals.CK_upper,X200.conf_intervals.CS_mean,X200.conf_intervals.CS_lower,X200.conf_intervals.CS_upper,X200.conf_intervals.CLu_mean,X200.conf_intervals.CLu_lower,X200.conf_intervals.CLu_upper,X200.conf_intervals.CBr_mean,X200.conf_intervals.CBr_lower,X200.conf_intervals.CBr_upper,X200.conf_intervals.Bal_mean,X200.conf_intervals.Bal_lower,X200.conf_intervals.Bal_upper,X200.conf_intervals.Abile_mean,X200.conf_intervals.Abile_lower,X200.conf_intervals.Abile_upper,X200.conf_intervals.Aurine_mean,X200.conf_intervals.Aurine_lower,X200.conf_intervals.Aurine_upper,X200.conf_intervals.Cbile_mean,X200.conf_intervals.Cbile_lower,X200.conf_intervals.Cbile_upper,X200.conf_intervals.Curine_mean,X200.conf_intervals.Curine_lower,X200.conf_intervals.Curine_upper
1,0.000382179,0.014868551,0.000173857,0.003478001,0.000524965,2.32E-05,1.25,1.249975067,8.52E-07,624.9875335,0.000425862,1,0.000394182,0.000269307,0.000545568,0.014792077,0.013793341,0.015622352,0.000178545,0.000125371,0.00024467,0.003490001,0.002569509,0.004646209,0.000536297,0.00040561,0.000698623,2.39E-05,1.64E-05,3.30E-05,1.25,1.25,1.25,1.249975068,1.24997505,1.24997509,8.53E-07,6.64E-07,1.08E-06,624.9875339,624.9875248,624.9875451,0.00042654,0.000332248,0.000540066,1,0.000720608,0.029920436,0.000330862,0.007019173,0.001030243,4.38E-05,2.5,2.499950135,1.72E-06,1249.975067,0.000861562,1,0.000718918,0.000524798,0.000944231,0.029881856,0.028155636,0.031375929,0.000331895,0.00024666,0.000433035,0.00709253,0.005166514,0.009402227,0.001028569,0.000791231,0.001314779,4.37E-05,3.20E-05,5.74E-05,2.5,2.5,2.5,2.499950136,2.499950099,2.499950183,1.73E-06,1.33E-06,2.13E-06,1249.975068,1249.975049,1249.975092,0.00086267,0.000664591,0.001063411,1,0.001465777,0.059737625,0.000671186,0.014002876,0.002071536,8.91E-05,5,4.999900269,3.44E-06,2499.950135,0.0017176,1,0.001429872,0.001049646,0.001860819,0.059819001,0.056366122,0.062605306,0.000658698,0.000479707,0.000856679,0.014195131,0.010613308,0.018609679,0.002070643,0.001595676,0.002645442,8.69E-05,6.40E-05,0.000112803,5,5,5,4.999900273,4.999900197,4.999900364,3.46E-06,2.72E-06,4.39E-06,2499.950136,2499.950099,2499.950182,0.001730459,0.001361681,0.002196861
2,6.25E-05,0.016179314,5.06E-05,0.003936391,0.000380817,4.36E-06,1.25,1.249975074,9.95E-07,624.9875369,0.000497357,2,6.93E-05,3.29E-05,0.000119691,0.016130953,0.015624082,0.016560748,5.34E-05,3.41E-05,7.66E-05,0.003969762,0.002878702,0.005300161,0.00039118,0.000279141,0.000538496,4.78E-06,2.48E-06,7.87E-06,1.25,1.25,1.25,1.249975075,1.249975054,1.249975102,1.00E-06,7.62E-07,1.28E-06,624.9875375,624.9875271,624.9875508,0.000500783,0.000381141,0.000638067,2,0.000149376,0.03225807,0.000110701,0.007837672,0.000772664,1.02E-05,2.5,2.499950147,1.98E-06,1249.975074,0.000989239,2,0.000174491,0.000105734,0.000261421,0.032123646,0.031072823,0.033034826,0.000121593,8.46E-05,0.000171682,0.007899049,0.005671627,0.010606774,0.000784358,0.000569321,0.001038052,1.17E-05,7.47E-06,1.73E-05,2.5,2.5,2.5,2.499950148,2.499950107,2.499950203,1.97E-06,1.52E-06,2.48E-06,1249.975074,1249.975053,1249.975101,0.000986431,0.000758534,0.001242452,2,0.000267359,0.064644932,0.000209303,0.015720363,0.001531176,1.85E-05,5,4.999900295,3.97E-06,2499.950147,0.0019855,2,0.000293149,0.000166068,0.000461875,0.064473693,0.062332166,0.066236102,0.000220096,0.000146842,0.000314407,0.015864994,0.011590821,0.021108285,0.001561271,0.001161191,0.002091002,2.01E-05,1.20E-05,3.04E-05,5,5,5.000000001,4.999900298,4.999900213,4.9999004,3.98E-06,3.09E-06,5.14E-06,2499.950149,2499.950106,2499.9502,0.001987563,0.001545712,0.002571066
3,5.09E-05,0.016226532,4.62E-05,0.003952933,0.00037561,4.03E-06,1.25,1.249975074,1.00E-06,624.987537,0.000499938,3,4.13E-05,2.43E-05,5.94E-05,0.016244755,0.015824455,0.01660553,4.27E-05,3.11E-05,5.76E-05,0.004011258,0.002921488,0.005389136,0.000378684,0.000268907,0.000530463,3.47E-06,2.33E-06,4.71E-06,1.25,1.25,1.25,1.249975076,1.249975055,1.249975103,1.01E-06,7.77E-07,1.30E-06,624.9875378,624.9875273,624.9875513,0.000507163,0.000388514,0.000649571,3,1.01E-05,0.032828922,5.70E-05,0.008037331,0.000709876,2.55E-06,2.5,2.49995015,2.04E-06,1249.975075,0.001020381,3,5.14E-05,7.24E-06,0.000107351,0.032628552,0.031672401,0.033408409,7.40E-05,4.73E-05,0.000108387,0.008080205,0.005785762,0.010878819,0.000729087,0.000518853,0.000982927,5.05E-06,2.18E-06,8.66E-06,2.5,2.5,2.500000001,2.49995015,2.499950108,2.499950206,2.03E-06,1.55E-06,2.55E-06,1249.975075,1249.975054,1249.975103,0.001014291,0.000777059,0.001272808,3,5.14E-05,0.065530061,0.000126069,0.01602997,0.001433806,6.97E-06,5.000000001,4.9999003,4.07E-06,2499.95015,0.002033791,3,6.48E-05,2.30E-06,0.000152368,0.065411542,0.063571882,0.066940506,0.000131999,8.30E-05,0.000190375,0.016202402,0.011796577,0.021615512,0.001459126,0.001058918,0.001967083,7.82E-06,3.47E-06,1.36E-05,5.000000001,5.000000001,5.000000001,4.999900303,4.999900217,4.999900407,4.08E-06,3.17E-06,5.30E-06,2499.950151,2499.950108,2499.950204,0.002039462,0.001583411,0.002647881
4,1.77E-05,0.016362464,3.34E-05,0.004000479,0.000360657,2.40E-06,1.25,1.249975075,1.01E-06,624.9875374,0.000507354,4,2.12E-05,6.97E-06,3.81E-05,0.016326099,0.015880521,0.016707021,3.49E-05,2.34E-05,4.87E-05,0.004039735,0.002951242,0.00544728,0.000369577,0.000259947,0.000520351,2.63E-06,1.58E-06,3.88E-06,1.25,1.25,1.25,1.249975076,1.249975055,1.249975103,1.02E-06,7.84E-07,1.31E-06,624.987538,624.9875275,624.9875514,0.000511638,0.000392164,0.000654928,4,3.91E-06,0.032854332,5.46E-05,0.008046221,0.000707079,2.91E-06,2.500000001,2.49995015,2.04E-06,1249.975075,0.001021767,4,1.01E-05,-1.28E-05,3.95E-05,0.03280013,0.031939513,0.033540255,5.81E-05,3.97E-05,8.33E-05,0.008142524,0.005819226,0.01097419,0.00071062,0.000502804,0.000962631,3.30E-06,1.81E-06,5.43E-06,2.500000001,2.5,2.500000001,2.499950151,2.499950109,2.499950209,2.05E-06,1.57E-06,2.58E-06,1249.975076,1249.975054,1249.975104,0.001023795,0.000785198,0.001290518,4,4.79E-06,0.065721037,0.000108111,0.01609677,0.001412797,5.64E-06,5.000000001,4.9999003,4.09E-06,2499.95015,0.00204421,4,4.60E-06,-1.77E-05,3.58E-05,0.06566082,0.063951953,0.067077918,0.000108777,7.29E-05,0.000153211,0.016293204,0.011828722,0.021769431,0.001432359,0.001037914,0.001928395,5.69E-06,3.35E-06,8.74E-06,5.000000001,5.000000001,5.000000001,4.999900304,4.999900217,4.99990041,4.11E-06,3.18E-06,5.36E-06,2499.950152,2499.950109,2499.950205,0.002053363,0.001589774,0.002681392
5,3.90E-06,0.016419196,2.81E-05,0.004020323,0.000354416,1.94E-06,1.25,1.249975075,1.02E-06,624.9875375,0.000510449,5,4.88E-06,-2.57E-06,1.76E-05,0.01639342,0.015961929,0.016755586,2.86E-05,1.91E-05,4.12E-05,0.004063798,0.002964212,0.005468928,0.000362288,0.000254956,0.000511607,2.02E-06,1.24E-06,3.02E-06,1.25,1.25,1.25,1.249975076,1.249975055,1.249975104,1.03E-06,7.88E-07,1.32E-06,624.9875382,624.9875276,624.9875518,0.000515368,0.000393957,0.000659883,5,1.41E-06,0.03286457,5.37E-05,0.008049802,0.000705953,3.49E-06,2.500000001,2.49995015,2.04E-06,1249.975075,0.001022326,5,1.05E-06,-1.51E-05,1.40E-05,0.032838178,0.032027063,0.033550368,5.46E-05,3.81E-05,7.54E-05,0.008156725,0.005824126,0.011037794,0.000706611,0.000497987,0.000957391,3.50E-06,2.31E-06,5.07E-06,2.500000001,2.500000001,2.500000001,2.499950152,2.499950109,2.499950209,2.05E-06,1.57E-06,2.59E-06,1249.975076,1249.975054,1249.975104,0.00102593,0.000785476,0.001296346,5,-2.99E-06,0.065752927,0.000105112,0.016107924,0.001409289,6.64E-06,5.000000001,4.999900301,4.09E-06,2499.95015,0.00204595,5,-5.87E-06,-1.74E-05,4.82E-06,0.065705014,0.064060042,0.067070364,0.000104736,7.26E-05,0.000144263,0.016309637,0.011850073,0.021814504,0.001427763,0.00103441,0.001916957,6.54E-06,4.34E-06,9.46E-06,5.000000001,5.000000001,5.000000002,4.999900304,4.999900218,4.999900411,4.11E-06,3.18E-06,5.38E-06,2499.950152,2499.950109,2499.950205,0.002055861,0.001589654,0.002688353
6,-3.97E-07,0.016436794,2.64E-05,0.004026478,0.00035248,2.05E-06,1.25,1.249975075,1.02E-06,624.9875376,0.000511409,6,-1.29E-06,-4.21E-06,3.76E-06,0.016419154,0.01600323,0.016764988,2.62E-05,1.79E-05,3.73E-05,0.004073181,0.002970788,0.005476659,0.000359559,0.000254139,0.000507569,2.02E-06,1.32E-06,2.86E-06,1.25,1.25,1.250000001,1.249975077,1.249975055,1.249975104,1.03E-06,7.88E-07,1.32E-06,624.9875383,624.9875276,624.987552,0.000516807,0.000393793,0.000662243,6,5.98E-07,0.032867893,5.34E-05,0.008050964,0.000705588,4.18E-06,2.500000001,2.49995015,2.05E-06,1249.975075,0.001022507,6,-1.59E-07,-4.22E-06,2.58E-06,0.032843404,0.032059605,0.033537205,5.41E-05,3.86E-05,7.31E-05,0.008158735,0.005823899,0.011039345,0.000706091,0.000497717,0.000956302,4.16E-06,3.00E-06,5.74E-06,2.500000001,2.500000001,2.500000001,2.499950152,2.499950109,2.499950209,2.05E-06,1.57E-06,2.60E-06,1249.975076,1249.975054,1249.975104,0.00102623,0.000786312,0.001297676,6,-1.76E-06,0.065747899,0.000105585,0.016106165,0.001409842,8.17E-06,5.000000002,4.999900301,4.09E-06,2499.95015,0.002045675,6,-5.18E-06,-1.57E-05,2.11E-06,0.065702658,0.064074462,0.067048667,0.000105006,7.45E-05,0.00014505,0.016308999,0.011851737,0.021821088,0.001428114,0.00103604,0.001916067,8.07E-06,5.63E-06,1.14E-05,5.000000002,5.000000001,5.000000002,4.999900304,4.999900218,4.999900411,4.11E-06,3.18E-06,5.38E-06,2499.950152,2499.950109,2499.950206,0.002055743,0.001589389,0.00268816
7,-3.36E-06,0.016448946,2.53E-05,0.004030729,0.000351143,2.23E-06,1.25,1.249975075,1.02E-06,624.9875376,0.000512072,7,-2.58E-06,-4.22E-06,-5.95E-07,0.01642465,0.016021153,0.016763789,2.58E-05,1.78E-05,3.63E-05,0.00407523,0.002972496,0.005482217,0.000358997,0.000253881,0.000506531,2.31E-06,1.59E-06,3.18E-06,1.250000001,1.25,1.250000001,1.249975077,1.249975055,1.249975104,1.03E-06,7.88E-07,1.32E-06,624.9875383,624.9875276,624.9875521,0.000517119,0.000393769,0.000661862,7,4.14E-07,0.032868648,5.33E-05,0.008051228,0.000705505,4.90E-06,2.500000001,2.49995015,2.05E-06,1249.975075,0.001022548,7,-2.26E-07,-3.30E-06,2.72E-06,0.032843712,0.032057609,0.033535741,5.41E-05,3.82E-05,7.30E-05,0.008158856,0.005823665,0.011039852,0.000706062,0.000497623,0.000956448,4.90E-06,3.52E-06,6.72E-06,2.500000001,2.500000001,2.500000001,2.499950152,2.499950109,2.499950209,2.05E-06,1.58E-06,2.60E-06,1249.975076,1249.975054,1249.975104,0.001026248,0.000788027,0.001297599,7,-1.12E-06,0.065745274,0.000105832,0.016105247,0.001410131,9.68E-06,5.000000002,4.999900301,4.09E-06,2499.95015,0.002045532,7,-3.72E-06,-1.23E-05,8.15E-07,0.065696696,0.064069457,0.067043683,0.000105568,7.48E-05,0.000145633,0.016306869,0.011851167,0.021819502,0.001428769,0.001036265,0.001915814,9.64E-06,6.84E-06,1.34E-05,5.000000002,5.000000001,5.000000003,4.999900304,4.999900218,4.999900411,4.11E-06,3.18E-06,5.38E-06,2499.950152,2499.950109,2499.950206,0.002055415,0.001589268,0.002687982
8,-2.37E-06,0.016444877,2.57E-05,0.004029305,0.000351591,2.66E-06,1.250000001,1.249975075,1.02E-06,624.9875376,0.00051185,8,-2.20E-06,-3.87E-06,-6.73E-07,0.016423226,0.016017722,0.016760681,2.59E-05,1.79E-05,3.61E-05,0.004074795,0.002973814,0.005481467,0.000359174,0.000253709,0.000506906,2.71E-06,1.92E-06,3.67E-06,1.250000001,1.25,1.250000001,1.249975077,1.249975055,1.249975104,1.03E-06,7.87E-07,1.32E-06,624.9875383,624.9875276,624.9875521,0.000517046,0.000393736,0.000661821,8,3.79E-07,0.03286879,5.33E-05,0.008051278,0.000705489,5.62E-06,2.500000001,2.49995015,2.05E-06,1249.975075,0.001022556,8,-2.78E-07,-2.57E-06,2.76E-06,0.032843939,0.032059127,0.033535777,5.41E-05,3.75E-05,7.27E-05,0.008158944,0.005823471,0.011040359,0.000706039,0.000497613,0.000956595,5.64E-06,4.04E-06,7.73E-06,2.500000001,2.500000001,2.500000002,2.499950152,2.499950109,2.499950209,2.05E-06,1.58E-06,2.60E-06,1249.975076,1249.975054,1249.975104,0.00102626,0.000789578,0.001297537,8,-4.80E-07,0.06574265,0.000106079,0.016104329,0.00141042,1.12E-05,5.000000002,4.999900301,4.09E-06,2499.95015,0.002045389,8,-1.87E-06,-7.48E-06,5.88E-07,0.065688995,0.064043451,0.067043659,0.000106285,7.51E-05,0.000147406,0.01630409,0.011845152,0.021818478,0.001429596,0.001037636,0.001915904,1.12E-05,7.99E-06,1.55E-05,5.000000002,5.000000002,5.000000003,4.999900304,4.999900218,4.999900411,4.11E-06,3.18E-06,5.38E-06,2499.950152,2499.950109,2499.950205,0.002054984,0.001589179,0.002687881
9,-2.25E-06,0.016444387,2.57E-05,0.004029134,0.000351645,3.03E-06,1.250000001,1.249975075,1.02E-06,624.9875376,0.000511823,9,-1.49E-06,-3.24E-06,-4.79E-07,0.016420315,0.016020164,0.016758944,2.62E-05,1.83E-05,3.64E-05,0.004073782,0.002972971,0.005481142,0.000359495,0.000254177,0.000506972,3.12E-06,2.24E-06,4.20E-06,1.250000001,1.25,1.250000001,1.249975077,1.249975055,1.249975104,1.03E-06,7.87E-07,1.32E-06,624.9875383,624.9875276,624.9875521,0.000516886,0.000393663,0.000661786,9,3.44E-07,0.032868932,5.33E-05,0.008051328,0.000705473,6.35E-06,2.500000001,2.49995015,2.05E-06,1249.975075,0.001022564,9,-1.96E-07,-1.40E-06,2.93E-06,0.032843635,0.032056744,0.033535813,5.41E-05,3.77E-05,7.28E-05,0.008158845,0.005823437,0.011040482,0.000706078,0.000497603,0.000956739,6.38E-06,4.57E-06,8.78E-06,2.500000001,2.500000001,2.500000002,2.499950152,2.499950109,2.499950209,2.05E-06,1.58E-06,2.60E-06,1249.975076,1249.975054,1249.975104,0.001026244,0.000789578,0.001297513,9,-2.71E-07,0.065741797,0.000106159,0.016104031,0.001410514,1.27E-05,5.000000003,4.999900301,4.09E-06,2499.95015,0.002045342,9,-8.65E-07,-3.64E-06,5.29E-07,0.065684813,0.064032695,0.067043638,0.000106672,7.55E-05,0.000148807,0.016302545,0.011842013,0.021817473,0.001430041,0.001037733,0.001917251,1.28E-05,9.09E-06,1.76E-05,5.000000003,5.000000002,5.000000004,4.999900304,4.999900218,4.999900411,4.11E-06,3.18E-06,5.38E-06,2499.950152,2499.950109,2499.950205,0.002054749,0.001589157,0.002687845
10,-9.86E-07,0.016439207,2.62E-05,0.004027322,0.000352215,3.48E-06,1.250000001,1.249975075,1.02E-06,624.9875376,0.000511541,10,-9.35E-07,-2.41E-06,-2.31E-07,0.016417987,0.016015555,0.016758502,2.64E-05,1.85E-05,3.65E-05,0.004072942,0.002972109,0.005479073,0.000359742,0.000254519,0.000507042,3.52E-06,2.52E-06,4.72E-06,1.250000001,1.250000001,1.250000001,1.249975077,1.249975055,1.249975104,1.03E-06,7.87E-07,1.32E-06,624.9875383,624.9875276,624.9875522,0.000516757,0.000393615,0.000661752,10,3.10E-07,0.032869074,5.33E-05,0.008051377,0.000705458,7.08E-06,2.500000001,2.49995015,2.05E-06,1249.975075,0.001022572,10,-4.76E-08,-1.07E-06,2.92E-06,0.032843034,0.032056422,0.033535848,5.42E-05,3.80E-05,7.28E-05,0.008158628,0.005823404,0.011040588,0.000706145,0.000497594,0.000956736,7.12E-06,5.11E-06,9.79E-06,2.500000001,2.500000001,2.500000002,2.499950152,2.499950109,2.499950209,2.05E-06,1.58E-06,2.59E-06,1249.975076,1249.975054,1249.975104,0.00102621,0.000789579,0.001296356,10,-1.74E-07,0.065741398,0.000106196,0.016103891,0.001410557,1.41E-05,5.000000003,4.999900301,4.09E-06,2499.95015,0.002045321,10,-5.39E-07,-2.48E-06,4.72E-07,0.065683465,0.064027803,0.067043667,0.000106797,7.57E-05,0.000148457,0.016302067,0.011841741,0.021816693,0.001430183,0.00103778,0.001917435,1.43E-05,1.01E-05,1.97E-05,5.000000003,5.000000002,5.000000004,4.999900304,4.999900218,4.999900411,4.11E-06,3.18E-06,5.38E-06,2499.950152,2499.950109,2499.950205,0.002054676,0.001589134,0.002687814
11,-6.59E-07,0.016437869,2.63E-05,0.004026854,0.000352362,3.86E-06,1.250000001,1.249975075,1.02E-06,624.9875376,0.000511468,11,-6.65E-07,-1.60E-06,-1.16E-07,0.016416843,0.016013622,0.01675824,2.65E-05,1.86E-05,3.68E-05,0.004072511,0.002971655,0.005477581,0.00035986,0.000254565,0.000507101,3.91E-06,2.78E-06,5.25E-06,1.250000001,1.250000001,1.250000001,1.249975077,1.249975055,1.249975104,1.03E-06,7.87E-07,1.32E-06,624.9875383,624.9875276,624.9875522,0.000516692,0.000393589,0.000661718,11,2.75E-07,0.032869217,5.32E-05,0.008051427,0.000705442,7.81E-06,2.500000002,2.49995015,2.05E-06,1249.975075,0.001022579,11,5.35E-08,-9.02E-07,2.46E-06,0.032842601,0.03205617,0.033535892,5.42E-05,3.82E-05,7.29E-05,0.008158476,0.005823378,0.011040646,0.00070619,0.000497585,0.000956733,7.87E-06,5.64E-06,1.08E-05,2.500000002,2.500000001,2.500000002,2.499950152,2.499950109,2.499950209,2.05E-06,1.58E-06,2.59E-06,1249.975076,1249.975054,1249.975104,0.001026186,0.00078958,0.001295508,11,-7.68E-08,0.065740999,0.000106234,0.016103752,0.001410601,1.56E-05,5.000000003,4.999900301,4.09E-06,2499.95015,0.002045299,11,-4.04E-07,-2.07E-06,4.10E-07,0.06568293,0.064027431,0.067043695,0.000106849,7.57E-05,0.000147516,0.016301881,0.011841621,0.021816548,0.001430242,0.001037826,0.001917485,1.58E-05,1.12E-05,2.17E-05,5.000000003,5.000000002,5.000000005,4.999900304,4.999900218,4.999900411,4.11E-06,3.18E-06,5.38E-06,2499.950152,2499.950109,2499.950205,0.002054648,0.001589124,0.002687813
12,-6.20E-07,0.01643771,2.63E-05,0.004026799,0.000352379,4.23E-06,1.250000001,1.249975075,1.02E-06,624.9875376,0.000511459,12,-5.57E-07,-8.43E-07,-8.99E-08,0.016416391,0.016010901,0.016758026,2.65E-05,1.86E-05,3.68E-05,0.004072343,0.002971636,0.005477515,0.000359908,0.00025461,0.000507158,4.29E-06,3.05E-06,5.78E-06,1.250000001,1.250000001,1.250000001,1.249975077,1.249975055,1.249975104,1.03E-06,7.87E-07,1.32E-06,624.9875383,624.9875276,624.9875522,0.000516666,0.000393586,0.000661683,12,2.40E-07,0.032869359,5.32E-05,0.008051477,0.000705426,8.54E-06,2.500000002,2.49995015,2.05E-06,1249.975075,0.001022587,12,1.28E-07,-7.66E-07,1.18E-06,0.032842276,0.032056037,0.033535775,5.42E-05,3.86E-05,7.29E-05,0.00815836,0.005823378,0.011040649,0.000706223,0.000497576,0.00095673,8.61E-06,6.17E-06,1.18E-05,2.500000002,2.500000001,2.500000002,2.499950152,2.499950109,2.499950209,2.05E-06,1.58E-06,2.59E-06,1249.975076,1249.975054,1249.975104,0.001026168,0.00078958,0.001295497,12,-5.17E-08,0.065740896,0.000106244,0.016103716,0.001410613,1.71E-05,5.000000004,4.999900301,4.09E-06,2499.95015,0.002045293,12,-3.76E-07,-1.88E-06,3.38E-07,0.065682824,0.064027058,0.067043716,0.000106859,7.57E-05,0.00014703,0.016301849,0.011841501,0.021816405,0.001430254,0.001037845,0.001917535,1.72E-05,1.23E-05,2.37E-05,5.000000004,5.000000003,5.000000005,4.999900304,4.999900218,4.999900411,4.11E-06,3.18E-06,5.38E-06,2499.950152,2499.950109,2499.950205,0.002054643,0.001589123,0.002687813
13,-5.81E-07,0.016437552,2.63E-05,0.004026743,0.000352397,4.59E-06,1.250000001,1.249975075,1.02E-06,624.9875376,0.00051145,13,-4.89E-07,-7.25E-07,-6.32E-08,0.016416116,0.01601077,0.016757812,2.66E-05,1.86E-05,3.69E-05,0.004072244,0.002971618,0.005477458,0.000359938,0.000254656,0.000507215,4.66E-06,3.31E-06,6.28E-06,1.250000001,1.250000001,1.250000001,1.249975077,1.249975055,1.249975104,1.03E-06,7.87E-07,1.32E-06,624.9875383,624.9875276,624.9875521,0.000516651,0.000393582,0.000661649,13,2.06E-07,0.032869501,5.32E-05,0.008051527,0.000705411,9.27E-06,2.500000002,2.49995015,2.05E-06,1249.975075,0.001022595,13,1.88E-07,-5.89E-07,1.16E-06,0.032842012,0.032056161,0.033535659,5.42E-05,3.89E-05,7.30E-05,0.00815826,0.005823378,0.011040652,0.000706249,0.000497567,0.000956726,9.35E-06,6.70E-06,1.28E-05,2.500000002,2.500000001,2.500000003,2.499950152,2.499950109,2.499950209,2.05E-06,1.58E-06,2.59E-06,1249.975076,1249.975054,1249.975104,0.001026154,0.00078881,0.001295487,13,-5.00E-08,0.065740889,0.000106244,0.016103713,0.001410613,1.85E-05,5.000000004,4.999900301,4.09E-06,2499.95015,0.002045293,13,-3.86E-07,-1.71E-06,2.88E-07,0.065682859,0.064026686,0.067043736,0.000106855,7.57E-05,0.000147091,0.016301864,0.011841382,0.021816262,0.001430251,0.001037851,0.001917585,1.87E-05,1.33E-05,2.58E-05,5.000000004,5.000000003,5.000000005,4.999900304,4.999900218,4.999900411,4.11E-06,3.18E-06,5.38E-06,2499.950152,2499.950109,2499.950205,0.002054645,0.001589122,0.002687812
14,-5.43E-07,0.016437393,2.64E-05,0.004026688,0.000352414,4.96E-06,1.250000001,1.249975075,1.02E-06,624.9875376,0.000511442,14,-4.29E-07,-6.71E-07,-3.86E-08,0.016415873,0.016010644,0.016757597,2.66E-05,1.86E-05,3.69E-05,0.004072157,0.002971599,0.005477404,0.000359965,0.000254701,0.000507272,5.03E-06,3.58E-06,6.78E-06,1.250000001,1.250000001,1.250000001,1.249975077,1.249975055,1.249975104,1.03E-06,7.87E-07,1.32E-06,624.9875383,624.9875276,624.9875521,0.000516638,0.000393579,0.000661622,14,1.71E-07,0.032869643,5.32E-05,0.008051576,0.000705395,9.99E-06,2.500000002,2.49995015,2.05E-06,1249.975075,0.001022603,14,2.03E-07,-3.17E-07,9.09E-07,0.03284194,0.032056254,0.033535543,5.42E-05,3.89E-05,7.30E-05,0.008158224,0.005823377,0.011040654,0.000706254,0.000497558,0.000956723,1.01E-05,7.23E-06,1.38E-05,2.500000002,2.500000002,2.500000003,2.499950152,2.499950109,2.499950209,2.05E-06,1.58E-06,2.59E-06,1249.975076,1249.975054,1249.975104,0.001026151,0.000788101,0.001295486,14,-4.83E-08,0.065740882,0.000106245,0.016103711,0.001410614,2.00E-05,5.000000004,4.999900301,4.09E-06,2499.95015,0.002045292,14,-3.67E-07,-1.57E-06,2.27E-07,0.065682781,0.064026313,0.067043761,0.000106862,7.57E-05,0.000147098,0.01630184,0.011841264,0.021816206,0.001430259,0.001037855,0.001917635,2.02E-05,1.44E-05,2.78E-05,5.000000004,5.000000003,5.000000006,4.999900304,4.999900218,4.999900411,4.11E-06,3.18E-06,5.38E-06,2499.950152,2499.950109,2499.950205,0.002054641,0.001589122,0.002687811
